advertisement, ,рекламные объявления
arrange,[əˈreɪndʒ],расположение
asset,[ˈæset],"актив, имущество"
caretaker,[ˈkɛəˌteɪkə],"смотритель, опекун"
challenge,[ˈtʃælɪndʒ],"проблема, притензия"
coast,[kəust],побережье
coin,[kɔɪn],двигать
comma ,[ˈkɔmə],запятая
consideration, [kənˌsɪdəˈreɪʃən],"соображение, рассмотрение"
convenience, [kənˈvi:njəns],"удобство, благоприятная возможность"
conversation, [ˌkɔnvəˈseɪʃən],переговоры
covering letter, ,сопроводительное письмо
dash ,[dæʃ],тире
duty ,[ˈdju:tɪ],обязанность
ethic ,[ˈeθɪk],этика
feeding , ,"кормление, питание"
forestry, [ˈfɔrɪstrɪ],лесоводство
garlic, [ˈɡɑ:lɪk],чеснок
habit, [ˈhæbɪt],привычка
pool, [pu:l],бассейн
powder, [ˈpaudə],"порошок, пудра"
regarding, [rɪˈɡɑ:dɪŋ],оценка
rescue worker, ,спасатель
road worker, ,дорожный рабочий
routine ,[ruː'tiːn],рутина
sailor ,[ˈseɪlə],моряк
seller ,[ˈselə],продавец
species ,[ˈspi:ʃi:z],"разновидности, виды"
sweet ,[swi:t],конфета
sword ,[sɔ:d],мечь
toothache ,[ˈtu:θeɪk],зубная боль
waiter ,[ˈweɪtə],официант
weblog , ,блог
