impact ,['ɪmpækt],сжатый
noticeable," ","значимый, заметный"
comprehensive," ",всесторонний
mention ,[ˈmenʃən],упомянутый
cumbersome ,[ˈkʌmbəsəm],громоздкий
soon ,[su:n],"скоро, рано"
regardless ,[rɪˈɡɑ:dlɪs],"невнимательный, ничтожный, независимо"
insufficient ,[ˌɪnsəˈfɪʃənt],"недостающий, неподходящий"
unexpectedly," ",неожиданно
due ,[dju:],"должный, подлежащий выплате"
idle ,[ˈaɪdl],"неработающий, неактивный"
equal ,[ˈi:kwəl],равный
mutual ,[ˈmju:tjuəl],"взаимный, совместный"
indeed ,[ɪnˈdi:d],"действительно, конечно"
precisely ,[prɪˈsaɪslɪ],"точно, совершенно верно"
roughly ,[ˈrʌflɪ],"примерно, грубо"
margin ,[ˈmɑ:dʒɪn],граничный
subtle ,[ˈsʌtl],"тонкий, изысканный"
slight ,[slaɪt],"небольшой , незначительный"
adjacent ,[əˈdʒeɪsənt],"смежный, прилегающий"
intrinsic ,[ɪnˈtrɪnsɪk],"свойственный, внутренний"
equally ,[ˈi:kwəlɪ],"одинаково, одновременно"
leading,['liːdɪŋ],ведущий
trailing," ","запаздывающий, конечный"
freely ,[ˈfri:lɪ],"свободно, как угодно"
affine," ","аффинный, смежный, соседний"
efficiently," ",эффективно
expensive ,[ɪksˈpensɪv],дорога
inheritable," ",наследственный
appropriate ,[ə'prəuprɪət],"соответствующий, подходящий"
paired," ",парный
carefully ,[ˈkɛəflɪ],"тщательно, внимательно"
sooner," ",раньше
virtually," ",фактически
immediate ,[ɪˈmi:djət],"непосредственный, немедленный"
significant ,[sɪɡˈnɪfɪkənt],"значительный, существенный"
intended ,[ɪnˈtendɪd],намеченный
desirable," ",желательный
benign ,[bɪˈnaɪn],"мягкий, доброкачественный"
robust ,[rəuˈbʌst],"прочный,  устойчивый"
self-contained," ",автономный
soon ,[su:n],"скоро, рано"
prematurely," ",преждевременно
simultaneously," ","одновременно, вместе"
permissible ,[pəˈmɪsəbl],допустимый
finite," ",конечный
odd ,[ɔd],необычный
legible ,[ˈledʒəbl],четкий
lucid ,[ˈlu:sɪd],ясный
subtle ,[ˈsʌtl],"изысканный, тонкий"
paramount ,[ˈpærəmaunt],главный
