affect ,['æfekt],влияние
cosine ,[ˈkəusaɪn],косинус
audience ,[ˈɔ:djəns],"аудитория, зрители"
capability ," ",возможность
benefit ,[ˈbenɪfɪt],"выгода, преимущество, польза"
exclusion ,[ɪksˈklu:ʒən],исключение
advantage," ",преимущество
effort ,[ˈefət],"усилие, напряжение"
magnitude," ",величина
leverage ,[ˈli:vərɪdʒ],средство достижения цели
equation ,[ɪˈkweɪʃən],уравнение
trait ,[treɪ],черта
opportunity ,[ˌɔpəˈtju:nɪtɪ],"возможность, удобный случай"
decision ,[dɪˈsɪʒən],"решение, урегулирование"
trait ,[treɪ],черта
launch ,[lɔ:ntʃ],запуск
dept," ",отдел
effort ,[ˈefət],"усилие, попытка"
attempt ,[əˈtempt],попытка
rivals," ",конкуренты
yield ,[ji:ld],"урожай, доходность, результат"
matter ,[ˈmætə],"предмет, значение"
effort ,[ˈefət],"усилие, попытка, достижение"
anchor ,[ˈæŋkə],привязка
offset ,[ˈɔfset],смещение
shrink ,[ʃrɪŋk],"сжатие, уменьшение"
maintaining," ","поддержание, обслуживание"
aspect ,[ˈæspekt],"сторона, внешний вид"
ratio ,[ˈreɪʃɪəu],"отношение, пропорция"
spread ,[spred],"распространение, разворот"
gesture ,[ˈdʒestʃə],жест
absence ,[ˈæbsəns],"отсутствие, недостаток"
matter ,[ˈmætə],"предмет, значение"
sale ,[seɪl],"продажа, реализация"
segue," ",переход
maintenance," ",обслуживание
submission ,[səbˈmɪʃən]," представление"
capture ,[ˈkæptʃə],получение
purpose ,[ˈpə:pəs],"цель, намерение"
invalidation ,[ɪnˌvælɪˈdeɪʃən],аннулирование
advice ,[ədˈvaɪs],"совет, рекомендация"
dispatch ,[dɪsˈpætʃ],"отправка, диспетчеризация"
caller ,[ˈkɔ:lə],вызывающая сторона
advantage," ",преимущество
interleave ,[ˌɪntəˈli:v],чередование
drain ,[dreɪn],утечка
predictability," ",предсказуемость
notification ,[ˌnəutɪfɪˈkeɪʃən],уведомление
response," ",ответ
schedule," ",график
callback," ",обратный вызов
benefit ,[ˈbenɪfɪt],"выгода, преимущество, польза"
increase ,['ɪnkriːs],"увеличение, прирост"
join ,[dʒɔɪn],"соедиенение, объединение"
clarity ,[ˈklærɪtɪ],ясность
adornment," ",украшение
motion ,[ˈməuʃən],движение
crisp ,[krɪsp],четкость
translucency ," ",полупрозрачность
blurring," ",размывание
bezel ,[ˈbezl],оправа
vitality ,[vaɪˈtælɪtɪ],живучесть
