though ,[ðəu],"хотя, невзирая на"
onscreen," ",на экране
solely ,[ˈsəullɪ],"в одиночестве, только"
along ,[əˈlɔŋ],"вдоль, вперед"
solely ,[ˈsəullɪ,"в одиночестве, только"
afterward," ","позже, впоследствии"
whereas ,[wɛərˈæz],"тогда как, принимая во внимание что"
thereafter ,[ðɛərˈɑ:ftə],"после того, впоследствии"
be aware," ",знайте
thus ,[ðʌs],"таким образом, соответственно"
n other words ," ",другими словами
appropriately," ",соответственно
"them selves "," ",их сам
perhaps ,[pəˈhæps],"возможно, может быть"
therefore ,[ˈðɛəfɔ:],"поэтому, следовательно"
outweigh," ",перевесить
we gonna have," ",будем иметь
let’s go ahead," ",вперед
let's going on," ",давайте идти на
keep on going," ",продолжайте идти
get over," ","забудьте, пропустите, забейте"
please be nice to me," ",пожалйста получись (прога)
i hope you stick around," ",я надеюсь вы останетесь
