annoying ,[əˈnɔɪɪŋ],раздражение
approach ,[əˈprəutʃ],"подход, приближение"
chapter ,[ˈtʃæptə],глава
citizenship ,[ˈsɪtɪznʃɪp],гражданство
draft ,[dra:ft],"проект, эскиз"
entirety ,[ɪnˈtaɪətɪ],полнота
everyone ,[ˈevrɪwʌn],"все, каждый"
essential ,[ɪˈsenʃəl],"основа, предмет первой необходимости"
estimation ,[ˌestɪˈmeɪʃən],оценка
glory ,[ˈɡlɔ:rɪ],"слава, красота"
obtaining," ",получение
perseption," ", восприятие
surface ,[ˈsə:fɪs],"поверхность, покрытие"
supply ,[sə'plaɪ],"поставка, предоставление"
speech ,[spi:tʃ],"устная речь, говор, язык"
