actuator ,[ˈæktjueɪtə],привод
advance ,[ədˈvɑ:ns],"прогресс, улучшение"
ability ,[əˈbɪlɪtɪ],"способность, возможность, компетенция"
accomplishing," ",выполнение
affect ,['æfekt],влияние
aim ,[eɪm],цель
allocation ,[ˌæləuˈkeɪʃən],"отчисление, выделение"
allowance ,[əˈlauəns],"допуск, разрешение"
amendment ,[əˈmendmənt],поправка
amount ,[əˈmaunt],"сумма, количество"
approach ,[əˈprəutʃ] ,"подход, приближение"
arrangement ,[əˈreɪndʒmənt],"расположение, классификация, соглашение"
assignment ,[əˈsaɪnmənt],"присвоение, назначение"
assertion ,[əˈsə:ʃən],утверждение
assumption ,[əˈsʌmpʃən],предположение
assurance," ",гарантия
asterix," ",звездочка
attempt ,[əˈtempt],попытка
avoidance ,[əˈvɔɪdəns],"предотвращение, минимизация"
augment ,[. ̈n.ˈɔ:ɡmənt],"увеличение, приращение"
belt ,[belt],"пояс, ремень, лента"
benchmark ,[ˈbentʃmɑ:k],"оценка, критерий"
benefit," ",выгода
capability," ","способность, возможность"
carriage ,[ˈkærɪdʒ],"вагон, транспортровка, перевозка"
circuit ,[ˈsə:kɪt],"схема, круговорот, округ"
coil ,[kɔɪl],"катушка, обмотка"
colon ,[ˈkəulən],двоеточие
committee ,[kəˈmɪtɪ],"комитет, комиссия, попечитель"
commissioning," ",ввод в действие
comprehensibility," ","понятность, постижимость"
conduct ,['kɔndʌkt],поведение
conformity ,[kənˈfɔ:mɪtɪ],соответствие
corrigendum," ",исправление
counting," ",ухаживание
consideration ,[kənˌsɪdəˈreɪʃən],"соображение, рассмотрение"
cover ,[ˈkʌvə],"защита, покрытие, страховка"
covering ,[ˈkʌvərɪŋ] ,покрытие
deal ,[di:l],"дело, обращение"
degree ,[dɪˈɡri:],"степень, градус, уровень"
designator," ",указатель
designation," ",обозначение
dictate ,[dɪk'teɪt],предписание
distinguishing ,[dɪsˈtɪŋɡwɪʃɪŋ],различие
divergence," ",расхождение
division ,[dɪˈvɪʒən],"подразделение, деление, граница"
drain ,[dreɪn],"утечка, дренаж"
domain," ","домен, область владения"
daunting," ",укрощение
edge ,[edʒ],"лезвие, край, грань"
effort ,[ˈefət],"усилие, попытка"
elastic band ," ",резинка
emergency," ",чрезвычайная ситуация
embrace ,[ɪmˈbreɪs],"заявка, принятие"
emphasis ," ",акцент
encoder," ","кодирующее устройство, кодер"
equipment ,[ɪˈkwɪpmənt],"оборудование, снаряжение"
equote," ",электронная заявка
essential ,[ɪˈsenʃəl],"основа, предмет первой необходимости"
expiration ,[ˌekspaɪəˈreɪʃən],"истечение срока, истечение"
exponentiation," ",возведение в степень
extensibility ,[ɪksˌtensəˈbɪlɪtɪ],"расширяемость, объем"
extract ,[ɪk'strækt],извлечение
fault ,[fɔ:lt],"ошибка, дефект"
familiarisation," ",ознакомление
feed ,[fi:d],"подача, канал"
feedback ,[ˈfi:dbæk],обратная связь
firmware," ","прошивка, встроенное ПО"
fitting ,[ˈfɪtɪŋ],"установка, настройка"
forcing ,[ˈfɔ:sɪŋ],принуждение
fraction ,[ˈfrækʃən],"часть, фракция"
gain ,[ɡeɪn],"выгода, усиление, преимущество"
gate ,[ɡeɪt] ,"ворота, логический элемент"
gathering ,[ˈɡæðərɪŋ],"сбор, собрание"
grade ,[ɡreɪd],"сорт, уровень, класс, степень"
habit ,[ˈhæbɪt],привычка
half ,[hɑ:f],половина
hamper ,[ˈhæmpə],корзина
hint ,[hɪnt],"намек, подсказка"
imposing ,[ɪmˈpəuzɪŋ],наложение
inability," ",неспособность
inconsistency ,[ˌɪnkənˈsɪstənsɪ],несоответствие
influence ,[ˈɪnfluəns],влияние
instantiation," ","экземпляр, реализация"
interaction ,[ˌɪntərˈækʃən],взаимодействие
interim," ",промежуточный период
invocation ,[ˌɪnvəuˈkeɪʃən],"просьба, вызов"
judge ,[ˈdʒʌdʒ],судья
keyword," ",ключевое слово
lie ,[laɪ],ложь
indent ,['ɪndent],"заявка, отступ"
influence ,[ˈɪnfluəns],влияние
