match-matched-matching-matches," ",совпадение
beans," ","бобы кофе, фасоль"
stupid," ","абсурдный, глупый, дурацкий"
bedroom," ",спальня
luggage," ",багаж
down stare," ",пристальный взгляд вниз
handsome," ","красивый, мужественный"
old-fashioned," ",старомодный
taxidermist," ",тот кто ловит собак
arrogant," "," высокомерный"
terrible/horrible," ",ужасный
weird,[виирд],"странный, сверхъестественный"
gorgeous," ",красивая о девушках
responsible," ",ответственный
mouse brown," ",коричневый цвет
glued," ",приклеенный
sweet," ","сладкий, приятный"
"underlying ",[ˌʌndəˈlaɪɪŋ],базовый
triadic," ",триадический
enthusiastic," ",восторженный
eternal," ",вечный
fat," "," жирный"
fabulous," ","невероятный, потрясающий"
awful," ",ужасный
simple,[ˈsɪmpl],"простой, чистый, незамысловатый"
"several ",[ˈsevrəl],"несколько, разные"
"significant ",[sɪɡˈnɪfɪkənt],значительный
cruel," ",жестокий
"swift ",[swɪft],быстрый
simultaneously," ",одновременно
quieter," ","тише, спокойный"
fair," ","справедливый, честный"
another," ",с единственным числом
other," ",со множественным числом
dirty," ",грязный (применяется и в переносном смысле)
expected," ",ожидаемый
fair," ",светлый
whose," ",чей
twofold," ","двойной, двукратный"
underlying,[ˌʌndəˈlaɪɪŋ],"основной, лежащий внизу, базовый"
unspecified," ",неказанный
upper,[ˈʌpə],"верхний, высший"
simple,[ˈsɪmpl],"протсой, глуповатый, доверчивый"
unexpected,[ˈʌnɪksˈpektɪd],"неожиданный, непредвиденный"
valid,[ˈvælɪd],"действующий, имеющий силу"
valuable,[ˈvæljuəbl],"ценный, полезный"
quick,[kwɪk],"быстрый, скорый"
whole,[həul],целый
versatile,[ˈvə:sətaɪl],"универсальный, многофункциональный"
