abandoned,[ebandend],"заброшенный, покинутый"
airy-fairy," ",мечтательный
bare-footed," ",босоногий
beloved," "," возлюбленный, любимый"
bizarre,[baza],"эксцентричный, причудливый"
bogus,[bogas],"фиктивный, поддельный"
convinced,[cenvinst],убежденный
dense," ","плотный, густой"
dignified,[dignifaid],"величественный, достойный"
disguised,[dizgaizd],"замаскированный, переодетый"
doomed,[duumd],обреченный
draped,[dreipt],украшать тканями
dreaded," ",страшный
dutifully,[durifli],покорно
embracing,[embracin],охватывающий
entirely,[intaili],полностью
equilateral,[equilateral],равностроронний
evident," ",очевидный
expedient,[expidient],целесообразный
fabled,[fabld],"придуманный, сказочный"
far-fetched," ","надуманный, неправдоподобный"
fixturing," ",закрепляющий
fuzzy,[fazi],"нечеткий, пушистый"
huffy,[hafi],обидчивый
humming,[humin],"гудящий, жужжащий"
holistic,[hilistic],целостный
inadvertently," ",ненароком
inflated," ","надутый, напыщенный"
instructive," ",поучительный
isosceles,[aisasceliis],равнобедренный
miserably," ","прискорбно, ужасно"
nasty,[nasti],противный
obligingly," ",услужливо
offending," ","оскорбительный, вызывающий"
outdated,[autdaitid],устаревший
pacemaker,[paismaker],задающий темп
pesky," ","противный, надоедливый"
plentiful," ","богатый, изобильный"
reconciling,[reconsailing],"урегулирование, выверка"
reminiscing,[reminisin],вспоминающий
starving," ",голодающий
ridiculous,[ridikjulas],смешной
ruthlessly,[ruzlesli],беспощадно
scalene,[skailin],неравносторонний
scarce,[skeazz],дефицитный
scattered,[skatted],"разбросанный, рассыпанный"
self-righteous,[self-raiches],самодовольный
sloppy," ",небрежный
smoothly," ",гладко
snooping," ","шпионящий, выслеживающий"
subtly,[sateli],тонко
substantial," ","существенный, значительный"
superior,[superia],"превосходящий, лучший"
suspicious,[saspishes],подозрительно
teensy," ",крохотный
tenth,[tent]," десятый"
ticklish," ","замаскированный, деликатный"
tougher,[tafar],"жесткий, трудный"
tough,[taf],"жесткий, прочный, сильный"
unwarranted," ",необоснованный
vaguely,[veigli],неясно
vague,[waig],"расплывчатый, неопределенный"
virtuous,[verchues],добродетельный
