abysmally,[abizmali],плачевно
admittedly," ","по общему признанию, предположительно"
adjacent,[ajeisent],примыкающий
ad-hoc," ","специальный, для этого случая"
apace," ",быстро
aforementioned," ",вышеупомянутый
awkward,[okwod],"неловкий, неуклюжий"
allocated," ",выделено
ambiguous," ",двусмысленный
amenable," ",поддающийся
annual," ",ежегодный
apparent,[aparent],очевидный
appealing," ",привлекательный
assistance," ","помощь, содействие"
atrocious,[atroushes],"отвратительный, зверский"
biennial,[baienial],двухгодичный
bloated," ",раздутый
blur,[bla],"пятно, размытость"
bulletproof," ",пуленепробиваемый
brand-new," ",совершенно новый
brittle," ",ломкий
candy," ","конфета, леденец"
cluttered," ",загроможден
clumsy,[clumzi],"топорный, неуклюжий"
compelling," ","востребованный, неотразимый"
competitive," ",конкурентноспособоный
comprising," ",содержащий
conceivable," ",мыслимый
confidently," ",уверенно
convoluted," ","извилистый, замысловатый"
concise," ","краткий, сжатый"
consent," ","согласие, разрешение"
contrived," ",выдуманный
crucial," ","ключевой, решающий"
deceiving,[disivin],обманчивый
defensive," ","защитный, оборонительный"
deficient," ",несовершенный
delightful," ",восхитительный
detuned," ",расстроенный
dire," ",страшный
disparate," ","несоизмеримый, несравнимый"
doom," ","гибель, рок, судба"
doubtful," ",сомнительный
eligible," ","подходящий, желательный"
eldest," ",самый старший
entirely," ","полностью, совершенно"
erratic," ",неутойчивый
evident," ",очевидный
excessive," ","чрезмерный, лишний"
extraneous," ","посторонний, внешний"
erroneously," ",ошибочно
erstwhile," ","былой, прежний"
far-fetched," ",надуманный
firmly," ",твердо
former," ","бывший, прежний"
forward," ",передовой
fragile," ","хрупкий, ломкий"
fraught," ","чреватый, удручающий"
full-fledged," ",развившийся
genuine," ",подленный
guilty,[gilty],виновный
hapless," ","незадачливый, несчастный"
"hostile ",[hostail],враждебный
illicit," ",незаконный
Ill-conceived," ",непродуманный
ill-suited,[il-suted],непродходящий
immense,[emens],"огромный, необъятный"
inaccurate,[inakjuret],неточный
indiscriminate," ","неразборчивый, беспорядочный"
indistinguishable," ",неразличимый
infeasible," ",невыполнимый
intermittent," ",неустойчивый
intrinsic," "," свойственный, присущий"
impactful," ",эффективный
insufficient," ","недостаточный, неподходящий"
indeed," ","в самом деле, действительно"
inexact," ",неточный
intentionally," ","намеренно, умышленно"
jumbled,[jambld],перемешанный
accidentally," ","между прочим, случайно"
intended," ",предназначенный
judiciously," ",рассудительно
latter," ",последний
malicious," ",злонамеренный
matured,[matshuud],созревший
messy," ","беспорядочный, неряшливый"
misleading," ",вводящий в заблуждение
modest," ",скромный
monetary," ","денежный, валютный"
multi-tenant," ",многоквартирные дома
mutual," ",взаимный
neatly," ",аккуратно
needless," ","излишний, ненужный"
nefarious," ",низкий
nifty," ","щегольский, изящный"
obscure," ","неясный, темный"
off-the-shelf," ","готовый, с полки"
ought,[ot],должен
out of luck," ",неудачливый
outright," ","прямой, откровенный"
onerous," ","обременительный, тагостный"
opaque," ",непрозрачный
ordinal," ",порядковый
pallid," ",Мертвенно-бледный
perennial," ",круглогодичный
pervasive," ",распространяющийся
plenty," ",много
pregnant," ",беременная
preallocated," ",предопределенные
premature," ",преждевременный
presumed," ",предполагаемый
presumably," ","предположительно, по-видимому"
queasy," ",привередливый
reentrant," ",повторно используемый
retrofitted," ",модернизированный
rigid," ","жесткий, твердый"
robust," ",крепкий
run-of-the-mill," ",заурядный
significant," ",значительный
slightly," ",немного
spurious,[spirias],поддельный
staple," "," основной, главный"
sparingly," ",скудно
spacial," ",пространственный
stringent," ",строгий
sublime," ","сублимированный, возвышенный"
subtle,[satl],утонченный
succinct," ",сжатый
subservient," ","подчиненный, подвластный"
susceptible," ","восприиимчивый, чувствительный"
subtle,[satl],тонкий
sufficient," ",достаточный
superfluous," ",излишний
supplementary," ","дополнительный, добавочный"
susceptible," ","чувствительный, восприимчивый"
suspect," ","подозреваемый, подозрительный"
tacit," ","подразумеваемый, не выражаемый словами"
tagged," ","помеченный, снабженный ярлыком"
threshold," ","порог, предел"
ubiquitous,[jubikwitos],вездесущий
unappealing," ",непривлекательный
unaware," ","незнающий, неподозревающий"
unbounded," ",неограниченный
undeniably,[undenaiebly],"неоспоримо, бесспорно"
undue," ","несвоевременный, чрезмерный"
unfeigned," ",неподдельный
unintentionally," ",неумышленный
unpleasant," ",неприятный
unwilling," ","несклонный, нерасположенный"
utmost," ","предельный,крайний"
versatile,[versetail]],"разносторонний, многофункцинальный"
well-versed," "," хорошо разбирающийся"
worthwhile," ","стоящий, путный"
zeroth," ",нулевой
