abreast,[ebrest],"в ряд, на одной линии"
admittedly," ",по общему признанию
atop," ","сверху, наверху, поверх"
barely,[beli]," едва, еле-еле"
"In essence ",[esns],в сущности
hence," ",следовательно
incidentally," ",между прочим
indiscriminately," ",без разбора
like so," ",как и...
merely,[mirly],просто
meantime," ",тем временем
midst," ","среди, посреди"
moreover," ",более того
occasionally," ",время от времени
pending," ","во ожидании, втечение"
recently," ","недавно, в последнее время"
tad," ","капельку, чуточку"
thus," ",таким образом
therefore," ","поэтому, следовательно"
unless," ","если, пока не"
upon," ",согласно
yet," ","все же, тем не менее, до сих пор"
within," ","в прдедах, в течение"
whatever," ",без разницы
wherein," "," в которой, в чем"
