"alter ",[ˈɔ:ltə],altered," ",altering," ",изменяться
"accomplish ",[əˈkɔmplɪʃ],accomplished," ",accomplishing," ","достигать, выполнять"
"appear ",[əˈpɪə],appeared," ",appearing," ","казаться, появляться"
"apply ",[əˈplaɪ],applied," ",appliyng," ",применяться
"appropriate ",[ə'prəuprɪət],appropriated," ",appropriating," ",адаптировать
"assert ",[əˈsə:t],asserted," ",asserting," ",утверждать
"assume ",[əˈsju:m],assumed," ",assuming," ",принимать
"claim ",[kleɪm],claimed," ",claiming," ","требовать, утверждать"
"consist ",[kənˈsɪst],consisted," ",consisting," ",состоять
deallocate," ",deallocated," ",deallocating," ",освобождать
"depend ",[dɪˈpend],depended," ",depending," ",зависимость
"derive ",[dɪˈraɪv],derived," ",deriving," ","получать, происходить"
"describe ",[dɪsˈkraɪb],described," ",describing," ",описывать
dish,[dɪʃ],dished," ",dishing," ",выгибать
"distribute ",[dɪsˈtrɪbju:t],distributed," ",distributing," ",распределять
"fetch ",[fetʃ],fetched," ",fetching," ",выбирать
"give ",[ɡɪv],given," ",giving," ",давать
"govern ",[ˈɡʌvən],governed," ",governing," ",управлять
"imply ",[ɪmˈplaɪ],implied," ",impliyng," ",подразумевать
"involve ",[ɪnˈvɔlv],involved," ",involving," ",включать
"mention ",[ˈmenʃən],mentioned," ",mentioning," ",упоминать
"multiply ",['mʌltɪplɪ],multiplied," ",multipliyng," ",умножать
"obtain ",[əbˈteɪn],obtained," ",obtaining," ","получать, приобратать"
"occur ",[əˈkə:],occurred," ",occuring," ","происходить, возникать"
"omit ",[əˈmɪt],omitted," ",omitting," ",опускать
"perform ",[pəˈfɔ:m],performed," ",performing," ","выполнять, исполнять"
"prepare ",[prɪˈpɛə],prepared," ",preparing," ","готовиться, подготовить"
"privilege ",[ˈprɪvɪlɪdʒ],privileged," ",privileging," ",давать полномочия
"qualify ",[ˈkwɔlɪfaɪ],qualified," ",qualifying," ",характеризовать
"raise ",[reɪz],raised," ",raising," ","формировать, выводить"
"retrieve ",[rɪˈtri:v],retrieved," ",retrieving," ","получать, восстанавливать"
"require ",[rɪˈkwaɪə],required," ",requiring," ",требовать
"revoke ",[rɪˈvəuk],revoked," ",revoking," ",отменять
"satisfy ",[ˈsætɪsfaɪ],satisfied," ",satisfying," ",удовлетворен
"scale ",[skeɪl],scaled," ",scaling," ",масштабироваться
"scope ",[skəup],scoped," ",scoping," ",рассматривать
"sign ",[saɪn],signed," ",signing," ",подписываться
"unwrap ",[ˈʌnˈræp]," unwrapped"," ",unwrapping," ",разворачивать
"violate ",[ˈvaɪəleɪt],violated," ",violating," ",нарушать
"yield ",[ji:ld],yielded," ",yielding," ","выдавать, приводить"
