"amount ",[əˈmaunt],"сумма, количество, объем"
"approach ",[əˈprəutʃ],"подход (к проблеме), приближение"
"carriage ",[ˈkærɪdʒ],"транспортировка, передача"
"case ",[keɪs],"случай, регистр, корпус"
"cast ",[kɑ:st],"бросок, слепок"
"drain ",[dreɪn],"утечка, слив"
"feed ",[fi:d],"канал, лента, подача, еда"
"mansion ",[ˈmænʃən],"особняк, обитель"
"mutability ",[ˌmju:təˈbɪlɪtɪ],"переменчивость, изменчивость"
"pair ",[pɛə],пара
"parenthesis ",[pəˈrenθɪsɪs],круглая скобка
"pool ",[pu:l],"объединение, группа, бассейн"
"quotation ",[kwəuˈteɪʃən],"цитата, расценки, котировка"
"rank ",[ræŋk],"разряд, класс"
"sole ",[səul],основание
spotlight ,[ˈspɔtlaɪt],"прожектор, центр внимания"
"treat ",[tri:t],обработка
"underscore ",[ˌʌndəˈskɔ:],подчеркивание
