"accomplish ",[əˈkɔmplɪʃ],accomplished," ",accomplishing,accomplishes,"достигать, выполнять"
"appear ",[əˈpɪə],appeared," ",appearing,appears,"казатсья, появляться"
"apply ",[əˈplaɪ],applied," ",applying,applies,применять
"assume ",[əˈsju:m],assumed," ",assuming,assumes,"принимать, предполагать"
"attempt ",[əˈtempt],attemped," ",attemping,attempts,"пытаться, делать попытку"
"consider ",[kənˈsɪdə],considered," ",considering,considers,"рассматривать, полагать"
"deduce ",[dɪˈdju:s],deduced," ",deducing,deduses,выводить
"compute ",[kəmˈpju:t],computed," ",computing,computes,вычислять
"consider ",[kənˈsɪdə],considered," ",considering,considers,"рассматривать, полагать"
"consist ",[kənˈsɪst],consisted," ",consisting,consists,состоять
bridge ,[brɪdʒ],bridged," ",bridging,bridges,соединять
"discover ",[dɪsˈkʌvə],discovered," ",discovering,discovers,обнаруживать
"evaluate ",[ɪˈvæljueɪt],evaluated," ",evaluating,evaluates,оценивать
"expect ",[ɪksˈpekt],expected," ",expecting,expects,ожидать
"infer ",[ɪnˈfə:],inferred," ",inferring,infers,выводить
"nest ",[nest],nested," ",nesting,nests,вкладывать
"occur ",[əˈkə:],occurred," ",occurring,occurs,"происходить, встречаться, случаться"
"populate ",[ˈpɔpjuleɪt],populated," ",populating,populates,"заполнять, населять"
"retain ",[rɪˈteɪn],retained," ",retaining,reteins,"удерживать, аккумулировать"
"spade ",[speɪd],spaded," ",spading,spades,"вырывать, рыть"
"surround ",[səˈraund],surrounded," ",surrounding,surrounds,окружать
"wrap ",[ræp],wrapped," ",wrapping,wraps,переносить
