"able ",[ˈeɪbl],"способный, талантливый"
"ahead ",[əˈhed],вперед
"backward ",[ˈbækwəd],"обратный, отсталый"
"convenience ",[kənˈvi:njəns],удобный
"common ",[ˈkɔmən],"общий, обычный"
"disposable ",[dɪsˈpəuzəbl],доступный
"either ",[ˈaɪðə],любой
"enough ",[ɪˈnʌf],достаточно
"essential ",[ɪˈsenʃəl],"существенный, необходимый"
"fancy ",[ˈfænsɪ],"небычный, причудливый"
inadvertently," ",непреднамеренно
"latter ",[ˈlætə],последний
"legacy ",[ˈleɡəsɪ],устаревший
"newly ",[ˈnju:lɪ],"недавно, вновь"
"presumably ",[prɪˈzju:məblɪ],"по-видимому, вероятно"
rightmost," ",самый правый
"soon ",[su:n],скоро
"supposed ",[səˈpəuzd],"воображаемый, предполагаемый"
"terse ",[tə:s],краткий
"themselves ",[ðəmˈselvz],самостоятельно
"truncated ",[ˈtrʌŋkeɪtɪd],"усеченный, обрезанный"
"verbose ",[və:ˈbəus],многословный
"weak ",[wi:k],"слабый, вялый"
