"adopt ",[əˈdɔpt],adopted," ",adopting,adopts,принимать
"admire ",[ədˈmaɪə],admired," ",admiring,admires,восхищаться
"align ",[əˈlaɪn],aligned," ",aligning,aligns,выравнивать
accommodate," ",accommodated," ",accommodating,accommodates,приспосабливать
"approach ",[əˈprəutʃ],approached," ",approaching,approaches,"приближаться, обращаться"
"appropriate ",[ə'prəuprɪət],appropriated," ",appropriating,appropriates,адаптировать
"appear ",[əˈpɪə],appeared," ",appearing,appears,"казаться, появляться"
"beg ",[beɡ],begged," ",begging,begs,просить
divide," "," "," "," "," ",разделиться
disappear," ",disappeared," ",disappearing,disappears,"исчезать ,пропадать"
"expand ",[ɪksˈpænd],expanded," ",expanding,expands,расширяться
"expect ",[ɪksˈpekt],expected," ",expecting,expects,ожидать
"explain ",[ɪksˈpleɪn],explained," ",explaining,explains,объяснять
"generalize ",[ˈdʒenərəlaɪz],generalized," ",generalizing,generalizes,"обобщать, делать вывод"
" hold ",[həuld],held," ",holding,holds,"держать, содержать"
"improve ",[ɪmˈpru:v],improved," ",improving,improves,улучшать
"interact ",[ˌɪntərˈækt],interacted," ",interacting,interacts,взаимодействовать
"intercept ",[. ̈n.ˈɪntəsept],intercaepted," ",intercepting,intercepts,"прерывать, перехватывать"
"maintain ",[meɪnˈteɪn],maintained," ",maintaining,maintains,"поддерживать, содержать"
resemble," "," "," "," "," ",напоминать
"rid ",[rɪd],rid," ",ridding,rids,избавлять
"stub ",[stʌb],stubbed," ",stubbing,stubs,гасить
"tap ",[tæp],tapped," ",tapping,taps,"выявлять, касатсья"
"warm ",[wɔ:m],warmed," ",warming,warms,"нагревать, воодушевляться"
