amazing ,[əˈmeɪzɪŋ],"поразительный, удивительный"
accordingly ,[əˈkɔ:dɪŋlɪ],соответственно
actually ,[ˈæktʃuəlɪ],"на самом деле, фактически"
boring ,[ˈbɔ:rɪŋ],скучный
certain ,[ˈsə:tn],"определенный, бесспорный"
common ,[ˈkɔmən],"общий, обычный"
compatible ,[kəmˈpætəbl],совместимый
compliant ,[kəmˈplaɪənt],"соответствующий, совместимый"
completely," ",полностью
computationally," ",в вычислительном отношении
confident ,[ˈkɔnfɪdənt],"уверенный, самонадеянный"
convenient ,[kənˈvi:njənt],"удобный, пригодный"
divided," ",разделенный
efficient ,[ɪˈfɪʃənt],"эффективный, рациональный"
either ,[ˈaɪðə],"любой, ни один"
expensive ,[ɪksˈpensɪv],дорогой
intact ,[ɪnˈtækt] ,неповрежденный
necessary ,[ˈnesɪsərɪ] ,"необходимый, неизбежный"
prior ,[ˈpraɪə],"предшествующий, бывший"
quick ,[kwɪk],"быстрый , скорый"
stroke ,[strəuk],штриховой
toll ,[təul],междугородный
underlying ,[ˌʌndəˈlaɪɪŋ],базовый
unrecognized ,[ˈʌnˈrekəɡnaɪzd],непризнанный
